Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/08  13:00:00,100.328022838,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  14:00:00,100.374908666,0.0,0.0,0.0,43.513341876,52.539744,13.4865935716,0.0,4.83426,8.65233357158
 01/08  15:00:00,100.418935968,0.0,0.0,0.0,43.513341876,52.539744,13.4799787226,0.0,4.83426,8.6457187226
 01/08  16:00:00,100.387853464,0.0,0.0,0.0,43.513341876,52.539744,13.4794970938,0.0,4.83426,8.64523709384
 01/08  17:00:00,103.0977873,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  18:00:00,117.968929434,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  19:00:00,117.950522716,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  20:00:00,118.378260063,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  21:00:00,118.32851333,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  22:00:00,118.09348181,0.0,0.0,0.0,43.513341876,52.539744,31.2228514573,0.0,4.83426,26.3885914573
 01/08  23:00:00,117.734896008,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  24:00:00,118.591670074,0.0,0.0,0.0,43.513341876,52.539744,13.4457612971,0.0,4.83426,8.61150129713
 01/09  01:00:00,117.709637644,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/09  02:00:00,117.723377279,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/09  03:00:00,117.709670208,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/09  04:00:00,117.695528772,0.0,0.0,0.0,43.513341876,52.539744,13.4526086187,0.0,4.83426,8.61834861866
 01/09  05:00:00,118.121088744,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/09  06:00:00,118.111848405,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/09  07:00:00,194.874681714,75.7303620347,0.0,0.0,43.513341876,53.238744,831.750386605,818.2977999,4.83426,8.6183267049
